externalSampleId bilirubin creatinine cholesterol glucose urea weight fat_weight
BL1485-516 0.44 0.212 148.6 393.9 18 30.71 0.246915
BL1485-516 0.44 0.212 148.6 393.9 18 31.3 0.246915
BL1485-516 0.44 0.212 148.6 393.9 18 27.14 0.246915
BL1485-525 0.19 0.249 193.7 359.8 24 37.45 0.300475
BL1485-525 0.19 0.249 193.7 359.8 24 38.89 0.300475
BL1485-525 0.19 0.249 193.7 359.8 24 38.89 0.300475
BL1485-525 0.19 0.249 193.7 359.8 24 33.34 0.300475
BL1485-525 0.19 0.249 193.7 359.8 24 30.8 0.300475
BL1512-415 0.1 0.15 110 258 13 32.28 0.184551
BL1512-415 0.1 0.15 110 258 13 31.69 0.184551
BL1512-415 0.1 0.15 110 258 13 27.64 0.184551
BL1512-415 0.1 0.15 110 258 13 28.72 0.184551
BL1512-415 0.1 0.15 110 258 13 32.28 0.184551
BL1540-471 0.2 0.24 156 341 20 29.04 0.256877
BL1540-471 0.2 0.24 156 341 20 32.26 0.256877
BL1540-471 0.2 0.24 156 341 20 32.26 0.256877
BL1540-471 0.2 0.24 156 341 20 32.55 0.256877
BL1540-471 0.2 0.24 156 341 20 26.3 0.256877
BL1540-474 0.4 0.23 116 326 19 31.66 0.291333
BL1540-474 0.4 0.23 116 326 19 31.66 0.291333
BL1540-474 0.4 0.23 116 326 19 25.18 0.291333
BL1540-474 0.4 0.23 116 326 19 31.43 0.291333
BL1601-416 0.1 0.14 105 303 16 21.87 0.119304
BL1601-416 0.1 0.14 105 303 16 19.66 0.119304
BL1601-416 0.1 0.14 105 303 16 21.84 0.119304
BL1601-416 0.1 0.14 105 303 16 19.66 0.119304
BL1653-459 0.3 0.21 121 431 22 27.1 0.183364
BL1653-459 0.3 0.21 121 431 22 27.1 0.183364
BL1653-459 0.3 0.21 121 431 22 21.36 0.183364
BL1653-459 0.3 0.21 121 431 22 24.3 0.183364
BL1653-479 0.3 0.19 156 359 29 33.13 0.175085
BL1653-479 0.3 0.19 156 359 29 26.24 0.175085
BL1653-479 0.3 0.19 156 359 29 26.03 0.175085
BL1653-479 0.3 0.19 156 359 29 30.99 0.175085
BL1653-479 0.3 0.19 156 359 29 33.13 0.175085
